Timestamp,RTL_sim,Cycle Period,Area_seq,Area_comb,Area_total,Evaluation time,Array_compute time,GATE_sim,Power,PPA(total),PPA(compute),
7/4/2025 22:32,PASS,10,252875.249,317140.5139,570015.7629,14525,2930,PASS,0.0175,144890881.7,29227558.24,NOT GATE
7/4/2025 22:42,PASS,5,252875.249,317140.5139,570015.7629,7262.5,1465,PASS,0.0344,142407038,28726514.39,
7/4/2025 22:42,PASS,5,252875.249,317140.5139,570015.7629,7262.5,1465,PASS,0.0344,142407038,28726514.39,
7/4/2025 22:53,PASS,5,252875.249,317140.5139,570015.7629,7262.5,1465,PASS,0.0344,142407038,28726514.39,
7/4/2025 22:56,PASS,8,252875.249,317140.5139,570015.7629,11620,2344,PASS,0.0217,143731754.7,28993737.78,
7/4/2025 23:01,PASS,4.3,252875.249,317140.5139,570015.7629,6245.75,1259.9,FAIL,0.0381,135642703.7,27362004.95,
7/5/2025 1:04,PASS,4.5,274240.4224,305949.558,580189.9804,6536.25,1318.5,PASS,0.0208,78879148.6,15911594.17,GATE
7/5/2025 1:08,PASS,10,274240.4224,305949.558,580189.9804,14525,2930,PASS,0.009663,81432608.21,16426681.04,
7/5/2025 1:10,PASS,7,274240.4224,305949.558,580189.9804,10167.5,2051,PASS,0.0136,80227510.11,16183587.24,
,,,,,,,,,,,,
7/5/2025 12:33,PASS,4,253963.2828,368001.4075,621964.6903,5810,1172,PASS,0.0441,159360414.9,32146369.41,
7/5/2025 12:35,PASS,3.7,253963.2828,368001.4075,621964.6903,5374.25,1084.1,PASS,0.0477,159441721.2,32162770.62,
