-0.6891479	a7ca
-0.6689453	aa60
-0.6505737	acba
+0.2130737	1b46
-0.4079895	cbc7
-0.0278320	fc70
+0.5760803	49bd
-0.7570801	9f18
-0.4151001	cade
+0.4342957	3797
+0.6251831	5006
+0.4701843	3c2f
+0.2467651	1f96
+0.2233276	1c96
+0.9276428	76bd
+0.5018921	403e
-0.5953674	b3cb
+0.7732544	62fa
-0.5489807	b9bb
+0.3586121	2de7
-0.4107056	cb6e
+0.0348206	0475
-0.5753174	b65c
+0.7811584	63fd
+0.2061768	1a64
+0.2700806	2292
-0.3194885	d71b
-0.6942749	a722
-0.6895142	a7be
-0.7010803	a643
+0.0943909	0c15
-0.0209045	fd53
+0.5428162	457b
+0.0513611	0693
+0.0675354	08a5
+0.8337402	6ab8
-0.8917847	8dda
+0.2602234	214f
+0.0509949	0687
-0.9296265	8902
-0.2608032	de9e
+0.6393127	51d5
-0.6269531	afc0
+0.6461792	52b6
-0.8258057	964c
+0.3660278	2eda
-0.3270569	d623
+0.0391846	0504
+0.0591431	0792
+0.9575806	7a92
+0.9942627	7f44
-0.0730286	f6a7
-0.7200623	a3d5
-0.3315735	d58f
-0.6616516	ab4f
+0.3141479	2836
-0.1146240	f154
+0.3165588	2885
+0.7626038	619d
-0.3334351	d552
-0.6828308	a899
+0.5867920	4b1c
-0.2193909	e3eb
+0.6036682	4d45
