+0.7849121	6478
+0.3560791	2d94
+0.1055908	0d84
-0.7245483	a342
-0.8210754	96e7
-0.0212402	fd48
+0.2374268	1e64
+0.4583130	3aaa
+0.8310547	6a60
+0.5107422	4160
-0.5975647	b383
-0.9813232	8264
-0.7188416	a3fd
-0.0744324	f679
+0.5771179	49df
+0.7160645	5ba8
+0.5714417	4925
+0.8181458	68b9
-0.2771606	dc86
+0.0693970	08e2
+0.1420593	122f
-0.3045654	d904
-0.0104065	feab
-0.6098633	b1f0
+0.3284607	2a0b
-0.3213806	d6dd
-0.0574951	f8a4
+0.2772522	237d
+0.5459595	45e2
+0.8822937	70ef
+0.4538269	3a17
+0.6082458	4ddb
+0.4403687	385e
+0.8741455	6fe4
-0.4631348	c4b8
-0.4119873	cb44
+0.5877075	4b3a
-0.9990845	801e
+0.1757202	167e
+0.2981873	262b
+0.5939636	4c07
-0.0334473	fbb8
+0.1872253	17f7
-0.1867676	e818
+0.7878113	64d7
-0.5112610	be8f
-0.5627747	b7f7
+0.7409973	5ed9
+0.7841187	645e
+0.8760681	7023
+0.5296021	43ca
+0.2660828	220f
-0.3761597	cfda
+0.3477783	2c84
-0.9335938	8880
+0.1008606	0ce9
+0.7953186	65cd
+0.3159180	2870
-0.8723755	9056
-0.8143616	97c3
+0.4488831	3975
-0.5535278	b926
-0.3399658	d47c
-0.7114258	a4f0
