+0.0239563	0311
-0.4484558	c699
-0.4694824	c3e8
-0.3259888	d646
-0.7717896	9d36
-0.9710999	83b3
+0.2198181	1c23
+0.0414429	054e
-0.7834473	9bb8
+0.4143066	3508
-0.0104370	feaa
-0.0570679	f8b2
+0.4722900	3c74
-0.5462646	ba14
-0.7305603	a27d
+0.3733826	2fcb
+0.1702271	15ca
+0.9583435	7aab
+0.5320435	441a
+0.0470276	0605
-0.4953308	c099
-0.6184387	b0d7
+0.2624512	2198
-0.5537415	b91f
+0.8876038	719d
-0.0325317	fbd6
+0.2138672	1b60
-0.1456604	ed5b
-0.8858948	8e9b
-0.4199524	ca3f
+0.3086243	2781
+0.3239746	2978
+0.6481323	52f6
-0.6624756	ab34
+0.8689270	6f39
-0.9047852	8c30
+0.6381531	51af
+0.8798218	709e
-0.8505859	9320
-0.5361328	bb60
-0.4906616	c132
-0.6955566	a6f8
+0.5304871	43e7
-0.3107910	d838
-0.4384460	c7e1
-0.6744995	a9aa
+0.5069885	40e5
+0.8421021	6bca
+0.9404907	7862
-0.4862671	c1c2
+0.5465393	45f5
+0.0156860	0202
-0.2158203	e460
+0.1039429	0d4e
+0.2574158	20f3
+0.0800781	0a40
+0.3920593	322f
-0.3999939	cccd
+0.7913208	654a
+0.0075073	00f6
+0.9253235	7671
-0.3789368	cf7f
-0.6975403	a6b7
+0.2098389	1adc
